"period","entity_type","league_canonical","entity_name","metric","value","short_level","long_level","normalized_index","momentum_percent","trend_per_week","volatility_percent","regime","observations"
2026-04-27,"team","CBLOL","paiN Gaming","kills_per_minute",0.554972,0.406998,0.381556,106.667806,6.667806,-3.307727,51.172167,"hot_cooling",103
2026-04-27,"team","CBLOL","paiN Gaming","rating_attack_global",86.752768,88.556347,92.943063,95.280212,-4.719788,-0.796588,2.838367,"cold_deteriorating",103
2026-04-27,"team","CBLOL","paiN Gaming","rating_attack_league",87.837408,89.704505,94.681242,94.743692,-5.256308,-0.484141,2.7185,"cold_deteriorating",103
2026-04-27,"team","CBLOL","paiN Gaming","rating_defense_global",90.373105,90.992723,95.429144,95.351083,-4.648917,-0.287122,3.944637,"cold_deteriorating",103
2026-04-27,"team","CBLOL","paiN Gaming","rating_defense_league",84.13797,85.131045,90.96497,93.586625,-6.413375,-0.791863,3.476789,"cold_deteriorating",103
2026-04-27,"team","CBLOL","paiN Gaming","snowball_index_league",94.02797,95.96364,97.445436,98.479358,-1.520642,-0.035529,1.3369,"cold_deteriorating",103
2026-05-25,"team","CBLOL","RED Canids","aggression_ahead_league",104.320991,104.828802,103.982489,100.813899,0.813899,0.297091,1.888994,"hot_accelerating",103
2026-05-25,"team","CBLOL","RED Canids","aggression_behind_league",94.683514,96.058849,97.67697,98.343395,-1.656605,-0.217653,0.865149,"cold_deteriorating",103
2026-05-25,"team","CBLOL","RED Canids","combined_kills_per_minute",0.825258,0.793772,0.84765,93.643848,-6.356152,-1.863889,29.321255,"cold_deteriorating",103
2026-05-25,"team","CBLOL","RED Canids","deaths_per_minute",0.549658,0.456472,0.388662,117.447264,17.447264,5.364774,43.733141,"hot_accelerating",103
2026-05-25,"team","CBLOL","RED Canids","game_length_minutes",31.461111,33.847068,34.053639,99.393398,-0.606602,0.930264,14.067635,"cold_recovering",103
2026-05-25,"team","CBLOL","RED Canids","kills_per_minute",0.2756,0.3373,0.458989,73.487646,-26.512354,-7.984961,55.916335,"cold_deteriorating",103
2026-05-25,"team","CBLOL","RED Canids","rating_attack_global",101.905592,105.546045,106.363898,99.231081,-0.768919,0.224765,3.535109,"cold_recovering",103
2026-05-25,"team","CBLOL","RED Canids","rating_attack_league",110.128715,114.099718,113.778535,100.282288,0.282288,0.587536,3.857558,"hot_accelerating",103
2026-05-25,"team","CBLOL","RED Canids","rating_defense_global",115.407272,115.703303,113.284312,102.135327,2.135327,0.693979,1.990711,"hot_accelerating",103
2026-05-25,"team","CBLOL","RED Canids","rating_defense_league",111.054497,112.654767,111.444799,101.085711,1.085711,0.436985,2.566229,"hot_accelerating",103
2026-05-25,"team","CBLOL","RED Canids","snowball_index_league",101.083701,100.566291,99.365504,101.208455,1.208455,0.47099,1.41671,"hot_accelerating",103
2022-08-01,"team","CBLOL","Rensga eSports","aggression_ahead_league",99.392541,99.501587,100.123317,99.379036,-0.620964,-0.325266,0.53255,"cold_deteriorating",17
2022-08-01,"team","CBLOL","Rensga eSports","aggression_behind_league",102.868686,101.381965,100.696196,100.681028,0.681028,-0.069272,1.241608,"hot_cooling",17
2022-08-01,"team","CBLOL","Rensga eSports","combined_kills_per_minute",1.124751,1.00479,0.909208,110.51263,10.51263,2.824595,18.078684,"hot_accelerating",17
2022-08-01,"team","CBLOL","Rensga eSports","deaths_per_minute",0.946111,0.734311,0.616388,119.131278,19.131278,3.996327,32.567884,"hot_accelerating",17
2022-08-01,"team","CBLOL","Rensga eSports","game_length_minutes",24.7,28.716532,30.794272,93.252838,-6.747162,-1.16948,17.904877,"cold_deteriorating",17
2022-08-01,"team","CBLOL","Rensga eSports","kills_per_minute",0.17864,0.270479,0.29282,92.370358,-7.629642,0.358097,77.946597,"cold_recovering",17
2022-08-01,"team","CBLOL","Rensga eSports","rating_attack_global",93.785657,93.51996,97.579338,95.839921,-4.160079,-2.123735,2.830558,"cold_deteriorating",17
2022-08-01,"team","CBLOL","Rensga eSports","rating_attack_league",85.75322,86.471332,89.997399,96.082034,-3.917966,-1.730477,1.961792,"cold_deteriorating",17
2022-08-01,"team","CBLOL","Rensga eSports","rating_defense_global",81.425947,84.17422,86.113855,97.747593,-2.252407,-0.181491,1.645699,"cold_deteriorating",17
2022-08-01,"team","CBLOL","Rensga eSports","rating_defense_league",84.247237,86.462337,89.620877,96.475665,-3.524335,-0.975171,1.232124,"cold_deteriorating",17
2022-08-01,"team","CBLOL","Rensga eSports","snowball_index_league",92.225074,93.529888,96.219893,97.204315,-2.795685,-1.009382,0.396424,"cold_deteriorating",17
2025-09-29,"team","CBLOL","Sicar Esports","aggression_ahead_league",100,100,100,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","aggression_behind_league",100,100,100,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","combined_kills_per_minute",1.202685,1.202685,1.202685,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","deaths_per_minute",0.963695,0.963695,0.963695,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","game_length_minutes",27.05,27.05,27.05,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","kills_per_minute",0.23899,0.23899,0.23899,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","rating_attack_global",94.050783,94.050783,94.050783,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","rating_attack_league",100,100,100,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","rating_defense_global",106.411878,106.411878,106.411878,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","rating_defense_league",100,100,100,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Sicar Esports","snowball_index_league",100,100,100,100,0,,,"insufficient",1
2026-05-18,"team","CBLOL","Vivo Keyd Stars","aggression_ahead_league",104.139115,102.750741,101.72057,101.012746,1.012746,0.434542,1.060766,"hot_accelerating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","aggression_behind_league",94.159791,95.553653,96.958058,98.551534,-1.448466,-0.263964,0.846606,"cold_deteriorating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","combined_kills_per_minute",0.958304,0.870459,0.854898,101.82021,1.82021,0.318289,22.11622,"hot_accelerating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","deaths_per_minute",0.739273,0.562085,0.464574,120.989149,20.989149,3.696631,70.271499,"hot_accelerating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","game_length_minutes",32.672222,33.538882,33.246872,100.878308,0.878308,1.067836,11.920728,"hot_accelerating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","kills_per_minute",0.219032,0.308375,0.390324,79.004796,-20.995204,-3.702709,102.93038,"cold_deteriorating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","rating_attack_global",91.157993,93.889411,96.22264,97.575176,-2.424824,-0.407456,3.672513,"cold_deteriorating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","rating_attack_league",95.94125,97.908962,99.500006,98.400961,-1.599039,-0.011098,3.938532,"cold_deteriorating",75
